,trait,efo,confidence
507,Corneal scars and opacities,Corneal scarring,5
508,Bullous keratopathy,"bullous dystrophy, macular type",5
509,Other corneal oedema,corneal edema,5
510,Corneal degeneration,corneal degeneration,5
511,Hereditary corneal dystrophies,corneal dystrophy,5
512,Keratoconus,keratoconus,5
513,Other specified disorders of cornea,Generalized opacification of the cornea,4
514,Disorder of cornea unspecified,Abnormality of the cornea morphology,5
515,Other disorders of cornea,Abnormal cornea morphology,5
516,Iridocyclitis unspecified,iridocyclitis,5
517,Iridocyclitis,iridocyclitis,5
518,Other specified disorders of iris and ciliary body,ciliary body disorder,5
519,Other disorders of iris and ciliary body,ciliary body disorder,4
520,Senile incipient cataract,senile cataract,5
521,Senile nuclear cataract,nuclear senile cataract,5
522,Other senile cataract,senile cataract,4
523,Senile cataract unspecified,senile cataract,5
524,Senile cataract,senile cataract,5
525,Infantile juvenile and presenile cataract,Foveal hypoplasia - presenile cataract,4
526,Traumatic cataract,Cataract,5
527,Complicated cataract,Cataract,4
528,After-cataract,Cataract,5
529,Other specified cataract,cataract 8 multiple types,4
530,Cataract unspecified,Rare cataract,4
531,Other cataract,cataract,4
532,Aphakia,Congenital aphakia,5
533,Dislocation of lens,Lens subluxation,5
534,Other specified disorders of lens,Abnormality of the eye,4
535,Other disorders of lens,Abnormality of the eye,4
536,Chorioretinal inflammation,Chorioretinitis,5
537,Other specified disorders of choroid,Abnormal choroid morphology,4
538,Other disorders of choroid,Abnormal choroid morphology,5
539,Retinoschisis and retinal cysts,X-linked retinoschisis,5
540,Serous retinal detachment,central serous retinopathy,5
541,Retinal breaks without detachment,retinal break,5
542,Traction detachment of retina,rhegmatogenous retinal detachment,3
543,Other retinal detachments,retinal detachment,5
544,Central retinal artery occlusion,retinal artery occlusion,5
545,Other retinal artery occlusions,retinal artery occlusion,5
546,Other retinal vascular occlusions,retinal vascular occlusion,5
547,Retinal vascular occlusions,retinal vascular occlusion,5
548,Background retinopathy and retinal vascular changes,non-proliferative diabetic retinopathy,5
549,Other proliferative retinopathy,proliferative diabetic retinopathy,4
550,Peripheral retinal degeneration,retinal degeneration,5
551,Retinal haemorrhage,Retinal hemorrhage,5
552,Separation of retinal layers,Abnormal retinal morphology,5
553,Other specified retinal disorders,retinal vascular disorder,3
554,Retinal disorder unspecified,Unclassified familial retinal dystrophy,4
555,Diabetic retinopathy,diabetic retinopathy,5
556,Retinal disorders in diseases classified elsewhere,obsolete genetic central nervous system and retinal vascular disease,4
557,Glaucoma suspect,glaucoma,5
558,Primary open-angle glaucoma,open-angle glaucoma,5
559,Primary angle-closure glaucoma,primary angle closure glaucoma,5
560,Glaucoma secondary to eye inflammation,neovascular glaucoma,4
561,Glaucoma secondary to other eye disorders,Secondary glaucoma due to a proliferation and differentiation anomaly,5
562,Other glaucoma,glaucoma,4
563,Glaucoma unspecified,glaucoma,5
564,Vitreous haemorrhage,vitreous hemorrhage,5
565,Other vitreous opacities,vitreous body disease,4
566,Other disorders of vitreous body,vitreous disorder,5
567,Disorder of vitreous body unspecified,vitreous body disease,5
568,Disorders of vitreous body,vitreous body disease,5
569,Purulent endophthalmitis,purulent endophthalmitis,5
570,Other endophthalmitis,endophthalmitis,5
571,Disorders of globe,Abnormality of the eye,5
572,Optic neuritis,optic neuritis,5
573,Disorders of optic nerve not elsewhere classified,optic nerve disorder,5
574,Papilloedema unspecified,optic papillitis,4
575,Other disorders of optic [2nd] nerve and visual pathways,obsolete_optic nerve,4
576,Third [oculomotor] nerve palsy,Oculomotor palsy,5
577,Fourth [trochlear] nerve palsy,fourth cranial nerve palsy,5
578,Sixth [abducent] nerve palsy,abducens nerve palsy,5
579,Paralytic strabismus,paralytic strabismus,5
580,Convergent concomitant strabismus,Concomitant strabismus,5
581,Divergent concomitant strabismus,Concomitant strabismus,5
582,Vertical strabismus,Strabismus,5
583,Heterophoria,dysphoria,2
584,Strabismus unspecified,Strabismus,5
585,Other strabismus,Strabismus,5
586,Hypermetropia,hyperopia,5
587,Myopia,myopia,5
588,Astigmatism,Astigmatism,5
589,Disorder of refraction unspecified,Abnormality of refraction,5
590,Disorders of refraction and accommodation,refractive error,5
591,Subjective visual disturbances,Disturbed sensory perception,5
592,Diplopia,Diplopia,5
593,Visual field defects,Visual field defect,5
594,Other visual disturbances,Abnormality of vision,5
595,Visual disturbance unspecified,Cerebral visual impairment,5
596,Visual disturbances,Visual impairment,5
597,H547 Unspecified visual loss,obsolete_isolated optic nerve hypoplasia,3
598,Visual impairment including blindness (binocular or monocular),Cerebral visual impairment,4
599,Ocular pain,Ocular pain,5
600,Other specified disorders of eye and adnexa,eye adnexa disease,5
601,Disorder of eye and adnexa unspecified,eye adnexa disease,5
602,Other disorders of eye and adnexa,eye adnexa disease,5
603,Other postprocedural disorders of eye and adnexa,"Rare genetic palpebral, lacrimal system and conjunctival disease",3
604,Postprocedural disorder of eye and adnexa unspecified,disease of orbital part of eye adnexa,4
605,Postprocedural disorders of eye and adnexa not elsewhere classified,disease of orbital part of eye adnexa,4
606,Cellulitis of external ear,Abnormality of the outer ear,5
607,Malignant otitis externa,otitis externa,4
608,Cholesteatoma of external ear,cholesteatoma of external ear,5
609,Other otitis externa,otitis externa,5
610,Otitis externa unspecified,otitis externa,5
611,Otitis externa,otitis externa,5
612,Perichondritis of external ear,perichondritis of auricle,5
613,Noninfective disorders of pinna,chronic perichondritis of pinna,3
614,Impacted cerumen,none,1
615,Acquired stenosis of external ear canal,Stenosis of the external auditory canal,5
616,Other specified disorders of external ear,external ear disease,5
617,Disorder of external ear unspecified,Abnormality of the outer ear,5
618,Other disorders of external ear,external ear disease,5
619,Chronic serous otitis media,chronic non-suppurative otitis media,5
620,Chronic mucoid otitis media,chronic non-suppurative otitis media,5
621,Other chronic nonsuppurative otitis media,chronic non-suppurative otitis media,5
622,Nonsuppurative otitis media unspecified,non-suppurative otitis media,5
623,Nonsuppurative otitis media,non-suppurative otitis media,5
624,Other chronic suppurative otitis media,chronic purulent otitis media,5
625,Otitis media unspecified,Otitis media,5
626,Suppurative and unspecified otitis media,suppurative otitis media,5
627,Other specified disorders of Eustachian tube,eustachian tube disease,5
628,Eustachian tube disorder unspecified,eustachian tube disease,5
629,Other disorders of Eustachian tube,eustachian tube disease,5
630,Mastoiditis unspecified,skin disease caused by bacterial infection,2
631,Mastoiditis and related conditions,Mastoiditis,5
632,Cholesteatoma of middle ear,cholesteatoma of middle ear,5
633,Central perforation of tympanic membrane,tympanic membrane perforation,5
634,Other perforations of tympanic membrane,tympanic membrane perforation,5
635,Perforation of tympanic membrane unspecified,tympanic membrane perforation,5
636,Perforation of tympanic membrane,tympanic membrane perforation,5
637,Other specified disorders of tympanic membrane,tympanic membrane disease,5
638,Other disorders of tympanic membrane,tympanic membrane disease,5
639,Tympanosclerosis,tympanic membrane disease,5
640,Other acquired abnormalities of ear ossicles,Abnormality of the ear,5
641,Polyp of middle ear,polyp of middle ear,5
642,Other specified disorders of middle ear and mastoid,cholesteatoma of middle ear,5
643,Disorder of middle ear and mastoid unspecified,polyp of middle ear,3
644,Other disorders of middle ear and mastoid,cholesteatoma of middle ear,4
645,Otosclerosis unspecified,otosclerosis,5
646,Otosclerosis,otosclerosis,5
647,Benign paroxysmal vertigo,obsolete_benign paroxysmal torticollis of infancy,2
648,Vestibular neuronitis,vestibular neuronitis,5
649,Other peripheral vertigo,peripheral vertigo,4
650,Other disorders of vestibular function,vestibular disease,5
651,Disorder of vestibular function unspecified,Enlarged vestibular aqueduct,4
652,Disorders of vestibular function,vestibular disease,5
653,Labyrinthitis,labyrinthitis,5
654,Other diseases of inner ear,Abnormality of the inner ear,5
655,Conductive hearing loss bilateral,Bilateral conductive hearing impairment,5
656,Conductive hearing loss unilateral with unrestricted hearing on the contralateral side,Congenital sensorineural hearing impairment,2
657,Conductive hearing loss unspecified,Conductive hearing impairment,5
658,Sensorineural hearing loss bilateral,sensorineural hearing loss,5
659,Sensorineural hearing loss unilateral with unrestricted hearing on the contralateral side,Congenital sensorineural hearing impairment,4
660,Sensorineural hearing loss unspecified,sensorineural hearing loss,5
661,Mixed conductive and sensorineural hearing loss bilateral,"hearing loss, mixed conductive-sensorineural",5
662,Mixed conductive and sensorineural hearing loss unspecified,"hearing loss, mixed conductive-sensorineural",5
663,Conductive and sensorineural hearing loss,"hearing loss, mixed conductive-sensorineural",5
664,Hearing loss unspecified,Hearing impairment,5
665,Other hearing loss,hearing loss,4
666,Otalgia,otodental syndrome,3
667,Otorrhoea,gonorrhea,2
668,Otalgia and effusion of ear,otitis media with effusion,5
669,Disorder of ear unspecified,disorder of ear,5
670,Other disorders of ear not elsewhere classified,disorder of ear,5
671,Mitral stenosis,mitral valve stenosis,5
672,Rheumatic mitral insufficiency,mitral valve insufficiency,5
673,Mitral stenosis with insufficiency,congenital mitral valve insufficiency and/or stenosis,4
674,Tricuspid insufficiency,Tricuspid regurgitation,5
675,Rheumatic tricuspid valve diseases,tricuspid valve disease,5
676,Disorders of both mitral and aortic valves,aortic valve disease,4
677,Disorders of both mitral and tricuspid valves,congenital mitral valve insufficiency and/or stenosis,4
678,Disorders of both aortic and tricuspid valves,patent ductus arteriosus-bicuspid aortic valve-hand anomalies syndrome,5
679,Combined disorders of mitral aortic and tricuspid valves,tricuspid valve disease,4
680,Other multiple valve diseases,heart valve disease,5
681,Multiple valve diseases,heart valve disease,5
682,Hypertensive renal disease with renal failure,hypertensive nephropathy,5
683,Hypertensive renal disease without renal failure,hypertensive nephropathy,5
684,Hypertensive renal disease,hypertensive nephropathy,5
685,Hypertensive heart and renal disease,hypertensive heart disease,4
686,Unstable angina,angina unstable,5
687,Angina pectoris with documented spasm,Prinzmetal's angina,5
688,Other forms of angina pectoris,Prinzmetal's angina,4
689,Angina pectoris unspecified,angina pectoris,5
690,Acute transmural myocardial infarction of anterior wall,acute anterolateral myocardial infarction,5
691,Acute transmural myocardial infarction of inferior wall,inferior myocardial infarction,5
692,Acute transmural myocardial infarction of other sites,acute myocardial infarction,5
693,Acute transmural myocardial infarction of unspecified site,acute myocardial infarction,5
694,Acute subendocardial myocardial infarction,Non-ST Elevation Myocardial Infarction,4
695,Subsequent myocardial infarction of anterior wall,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,4
696,Subsequent myocardial infarction of inferior wall,inferior myocardial infarction,5
697,Subsequent myocardial infarction of other sites,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,5
698,Subsequent myocardial infarction of unspecified site,myocardial infarction,5
699,Subsequent myocardial infarction,myocardial infarction,5
700,Other current complications following acute myocardial infarction,myocardial infarction,5
701,Certain current complications following acute myocardial infarction,myocardial infarction,5
702,Coronary thrombosis not resulting in myocardial infarction,coronary thrombosis,5
703,Dressler syndrome,obsolete_Kindler syndrome,1
704,Other forms of acute ischaemic heart disease,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,5
705,Atherosclerotic cardiovascular disease so described,atherosclerosis,5
706,Old myocardial infarction,myocardial infarction,5
707,Aneurysm of heart,coronary aneurysm,5
708,Pulmonary embolism with mention of acute cor pulmonale,acute cor pulmonale,5
709,Primary pulmonary hypertension,"pulmonary hypertension, primary, 1",5
710,Other diseases of pulmonary vessels,Abnormality of the cardiovascular system,5
711,Acute pericarditis unspecified,pericarditis,5
712,Acute pericarditis,pericarditis,5
713,Chronic constrictive pericarditis,constrictive pericarditis,5
714,Pericardial effusion (noninflammatory),pericardial effusion,5
715,Mitral (valve) insufficiency,mitral valve insufficiency,5
716,Mitral (valve) prolapse,mitral valve prolapse,5
717,Aortic (valve) insufficiency,aortic valve insufficiency,5
